placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-07-01 00:00:00,2026-07-02 00:00:00,4209
tojinbo-shotaro,Person,2026-07-02 00:00:00,2026-07-03 00:00:00,4480
tojinbo-shotaro,Person,2026-07-03 00:00:00,2026-07-04 00:00:00,7985
tojinbo-shotaro,Person,2026-07-04 00:00:00,2026-07-05 00:00:00,15867
tojinbo-shotaro,Person,2026-07-05 00:00:00,2026-07-06 00:00:00,12643
tojinbo-shotaro,Person,2026-07-06 00:00:00,2026-07-07 00:00:00,6504
tojinbo-shotaro,Person,2026-07-07 00:00:00,2026-07-08 00:00:00,5088
tojinbo-shotaro,Person,2026-07-08 00:00:00,2026-07-09 00:00:00,5910
tojinbo-shotaro,Person,2026-07-09 00:00:00,2026-07-10 00:00:00,6881
tojinbo-shotaro,Person,2026-07-10 00:00:00,2026-07-11 00:00:00,8703
tojinbo-shotaro,Person,2026-07-11 00:00:00,2026-07-12 00:00:00,15800
tojinbo-shotaro,Person,2026-07-12 00:00:00,2026-07-13 00:00:00,16496
tojinbo-shotaro,Person,2026-07-13 00:00:00,2026-07-14 00:00:00,7222
tojinbo-shotaro,Person,2026-07-14 00:00:00,2026-07-15 00:00:00,5602
tojinbo-shotaro,Person,2026-07-15 00:00:00,2026-07-16 00:00:00,5502
tojinbo-shotaro,Person,2026-07-16 00:00:00,2026-07-17 00:00:00,5850
tojinbo-shotaro,Person,2026-07-17 00:00:00,2026-07-18 00:00:00,8237
tojinbo-shotaro,Person,2026-07-18 00:00:00,2026-07-19 00:00:00,17434
tojinbo-shotaro,Person,2026-07-19 00:00:00,2026-07-20 00:00:00,27517
