placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2026-05-01 00:00:00,2026-05-02 00:00:00,20,0,1,5,5,2,1,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-02 00:00:00,2026-05-03 00:00:00,472,2,95,56,49,68,54,24,19,9,0,11,20,14,29,14,2,3,2,0,0,0,0,1,0,0,0,0
tojinbo-shotaro,Face,2026-05-03 00:00:00,2026-05-04 00:00:00,586,1,101,54,55,76,59,49,21,7,0,19,33,31,30,19,17,10,4,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-04 00:00:00,2026-05-05 00:00:00,993,1,185,104,103,160,100,41,24,11,0,61,44,46,40,41,18,6,7,0,1,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-05 00:00:00,2026-05-06 00:00:00,465,1,92,67,45,82,38,29,12,7,0,13,17,24,15,12,5,2,3,0,1,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-06 00:00:00,2026-05-07 00:00:00,696,0,164,90,84,93,53,36,13,9,0,20,36,27,26,26,9,8,1,0,1,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-07 00:00:00,2026-05-08 00:00:00,86,0,19,10,6,15,6,1,3,1,0,3,7,3,7,3,2,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-08 00:00:00,2026-05-09 00:00:00,55,0,10,5,7,9,6,2,1,3,0,0,1,5,2,0,3,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-09 00:00:00,2026-05-10 00:00:00,145,0,40,17,13,17,10,6,5,2,0,3,6,9,5,3,4,4,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-10 00:00:00,2026-05-11 00:00:00,172,1,36,34,14,16,9,7,4,2,0,9,11,16,7,2,2,1,0,0,0,0,1,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-11 00:00:00,2026-05-12 00:00:00,43,0,12,1,2,4,1,3,2,2,0,3,5,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-12 00:00:00,2026-05-13 00:00:00,88,0,23,10,8,8,8,3,1,0,0,6,8,6,2,1,2,1,0,0,0,0,1,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-13 00:00:00,2026-05-14 00:00:00,66,0,16,9,3,7,7,2,1,0,0,1,6,4,8,1,1,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-05-14 00:00:00,2026-05-15 00:00:00,143,0,36,15,15,23,4,6,4,3,0,3,6,6,7,5,6,0,2,0,0,0,0,1,1,0,0,0
