placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-01-15 15:00:00,2025-01-15 15:05:00,61
fukui-station-east-entrance,Person,2025-01-15 15:05:00,2025-01-15 15:10:00,49
fukui-station-east-entrance,Person,2025-01-15 15:10:00,2025-01-15 15:15:00,24
fukui-station-east-entrance,Person,2025-01-15 15:15:00,2025-01-15 15:20:00,51
fukui-station-east-entrance,Person,2025-01-15 15:20:00,2025-01-15 15:25:00,47
fukui-station-east-entrance,Person,2025-01-15 15:25:00,2025-01-15 15:30:00,34
fukui-station-east-entrance,Person,2025-01-15 15:30:00,2025-01-15 15:35:00,16
fukui-station-east-entrance,Person,2025-01-15 15:35:00,2025-01-15 15:40:00,28
fukui-station-east-entrance,Person,2025-01-15 15:40:00,2025-01-15 15:45:00,34
fukui-station-east-entrance,Person,2025-01-15 15:45:00,2025-01-15 15:50:00,21
