placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-09-05 21:00:00,2026-09-05 21:05:00,17
fukui-station-east-entrance,Person,2026-09-05 21:05:00,2026-09-05 21:10:00,30
fukui-station-east-entrance,Person,2026-09-05 21:10:00,2026-09-05 21:15:00,26
fukui-station-east-entrance,Person,2026-09-05 21:15:00,2026-09-05 21:20:00,20
fukui-station-east-entrance,Person,2026-09-05 21:20:00,2026-09-05 21:25:00,31
fukui-station-east-entrance,Person,2026-09-05 21:25:00,2026-09-05 21:30:00,21
fukui-station-east-entrance,Person,2026-09-05 21:30:00,2026-09-05 21:35:00,20
fukui-station-east-entrance,Person,2026-09-05 21:35:00,2026-09-05 21:40:00,14
fukui-station-east-entrance,Person,2026-09-05 21:40:00,2026-09-05 21:45:00,9
fukui-station-east-entrance,Person,2026-09-05 21:45:00,2026-09-05 21:50:00,17
fukui-station-east-entrance,Person,2026-09-05 21:50:00,2026-09-05 21:55:00,15
fukui-station-east-entrance,Person,2026-09-05 21:55:00,2026-09-05 22:00:00,8
