placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-05-22 19:00:00,2026-05-22 19:05:00,40
fukui-station-east-entrance,Person,2026-05-22 19:05:00,2026-05-22 19:10:00,20
fukui-station-east-entrance,Person,2026-05-22 19:10:00,2026-05-22 19:15:00,17
fukui-station-east-entrance,Person,2026-05-22 19:15:00,2026-05-22 19:20:00,21
fukui-station-east-entrance,Person,2026-05-22 19:20:00,2026-05-22 19:25:00,13
fukui-station-east-entrance,Person,2026-05-22 19:25:00,2026-05-22 19:30:00,28
fukui-station-east-entrance,Person,2026-05-22 19:30:00,2026-05-22 19:35:00,17
fukui-station-east-entrance,Person,2026-05-22 19:35:00,2026-05-22 19:40:00,5
fukui-station-east-entrance,Person,2026-05-22 19:40:00,2026-05-22 19:45:00,11
fukui-station-east-entrance,Person,2026-05-22 19:45:00,2026-05-22 19:50:00,5
fukui-station-east-entrance,Person,2026-05-22 19:50:00,2026-05-22 19:55:00,10
fukui-station-east-entrance,Person,2026-05-22 19:55:00,2026-05-22 20:00:00,18
